"","ano","semana_epidemiologica","fecha_inicio_semana_epidemiologica","grupo_etario","departamento_residencia","n_notificaciones","n_confirmados_probables_fis","n_confirmados_por_laboratorio","n_internados_fecha_internacion","n_internados_uti_fecha_internacion","n_fallecidos_confirmados_por_laboratorio","Latitude","Longitud"
"176",2023,6,2023-02-05,"[50,60)","COMUNA 4",1,0,0,0,0,0,"-34.617.566","-58.358.616"
"177",2023,6,2023-02-05,"[60,70)","COMUNA 4",2,0,0,0,0,0,"-34.617.566","-58.358.616"
"178",2023,6,2023-02-05,"[40,50)","COMUNA 5",1,0,0,0,0,0,"-34.624.987","-58.350.197"
"179",2023,6,2023-02-05,"[50,60)","COMUNA 6",1,0,0,0,0,0,"-34.633.553","-58.341.546"
"180",2023,6,2023-02-05,"[0,10)","COMUNA 7",2,0,0,0,0,0,"-34.643.225","-58.332.644"
"181",2023,6,2023-02-05,"[10,20)","COMUNA 7",0,2,1,0,0,0,"-34.643.225","-58.332.644"
"182",2023,6,2023-02-05,"[30,40)","COMUNA 7",2,1,1,0,0,0,"-34.643.225","-58.332.644"
"183",2023,6,2023-02-05,"[40,50)","COMUNA 7",1,1,1,0,0,0,"-34.643.225","-58.332.644"
"184",2023,6,2023-02-05,"[10,20)","COMUNA 8",1,0,0,0,0,0,"-34.653.956","-58.323.426"
"185",2023,6,2023-02-05,"[30,40)","COMUNA 8",1,0,0,0,0,0,"-34.653.956","-58.323.426"
"186",2023,6,2023-02-05,"[40,50)","COMUNA 8",2,0,0,0,0,0,"-34.653.956","-58.323.426"
"187",2023,6,2023-02-05,"[50,60)","COMUNA 8",1,0,0,0,0,0,"-34.653.956","-58.323.426"
"188",2023,6,2023-02-05,"[0,10)","COMUNA 9",0,1,1,0,0,0,"-34.665.705","-58.313.885"
"189",2023,6,2023-02-05,"[20,30)","COMUNA 9",1,1,1,0,0,0,"-34.665.705","-58.313.885"
"190",2023,6,2023-02-05,"[40,50)","COMUNA 9",1,0,0,0,0,0,"-34.665.705","-58.313.885"
"191",2023,6,2023-02-05,"[50,60)","COMUNA 9",1,1,1,0,0,0,"-34.665.705","-58.313.885"
"192",2023,6,2023-02-05,"[60,70)","COMUNA 9",1,0,0,0,0,0,"-34.665.705","-58.313.885"
"193",2023,6,2023-02-05,"[10,20)","SIN DATOS",1,0,0,0,0,0,NA,NA
"194",2023,6,2023-02-05,"[50,60)","SIN DATOS",2,0,0,0,0,0,NA,NA
"195",2023,6,2023-02-05,"[70,80)","SIN DATOS",1,0,0,0,0,0,NA,NA
"196",2023,7,2023-02-12,"[0,10)","COMUNA 1",2,0,0,0,0,0,"-34.602.312","-58.381.772"
"197",2023,7,2023-02-12,"[10,20)","COMUNA 1",3,0,0,0,0,0,"-34.602.312","-58.381.772"
"198",2023,7,2023-02-12,"[30,40)","COMUNA 1",0,1,0,0,0,0,"-34.602.312","-58.381.772"
"199",2023,7,2023-02-12,"[40,50)","COMUNA 1",1,0,0,1,0,0,"-34.602.312","-58.381.772"
"200",2023,7,2023-02-12,"[50,60)","COMUNA 1",1,0,0,0,0,0,"-34.602.312","-58.381.772"
"201",2023,7,2023-02-12,"[60,70)","COMUNA 1",1,0,0,0,0,0,"-34.602.312","-58.381.772"
"202",2023,7,2023-02-12,"[40,50)","COMUNA 10",1,0,0,0,0,0,"-34.678.425","-58.304.051"
"203",2023,7,2023-02-12,"[50,60)","COMUNA 10",1,0,0,0,0,0,"-34.678.425","-58.304.051"
"204",2023,7,2023-02-12,"[70,80)","COMUNA 10",1,0,0,0,0,0,"-34.678.425","-58.304.051"
"205",2023,7,2023-02-12,"[20,30)","COMUNA 11",2,2,2,0,0,0,"-34.692.068","-58.293.894"
"206",2023,7,2023-02-12,"[50,60)","COMUNA 11",1,0,0,0,0,0,"-34.692.068","-58.293.894"
"207",2023,7,2023-02-12,"[60,70)","COMUNA 11",3,2,2,0,0,0,"-34.692.068","-58.293.894"
"208",2023,7,2023-02-12,"[70,80)","COMUNA 11",2,2,2,0,0,0,"-34.692.068","-58.293.894"
"209",2023,7,2023-02-12,"[0,10)","COMUNA 12",1,0,0,0,0,0,"-34.706.587","-58.283.475"
"210",2023,7,2023-02-12,"[20,30)","COMUNA 12",1,0,0,0,0,0,"-34.706.587","-58.283.475"
"211",2023,7,2023-02-12,"[50,60)","COMUNA 12",0,1,0,0,0,0,"-34.706.587","-58.283.475"
"212",2023,7,2023-02-12,"[20,30)","COMUNA 14",1,0,0,0,0,0,"-34.738.059","-58.261.706"
"213",2023,7,2023-02-12,"[60,70)","COMUNA 14",1,0,0,0,0,0,"-34.738.059","-58.261.706"
"214",2023,7,2023-02-12,"[10,20)","COMUNA 15",1,0,0,0,0,0,"-34.754.920","-58.250.315"
"215",2023,7,2023-02-12,"[20,30)","COMUNA 2",1,0,0,0,0,0,"-34.606.241","-58.374.636"
"216",2023,7,2023-02-12,"[30,40)","COMUNA 2",2,0,0,0,0,0,"-34.606.241","-58.374.636"
"217",2023,7,2023-02-12,"[50,60)","COMUNA 2",1,0,0,0,0,0,"-34.606.241","-58.374.636"
"218",2023,7,2023-02-12,"[30,40)","COMUNA 3",1,0,0,0,0,0,"-34.611.339","-58.366.940"
"219",2023,7,2023-02-12,"[40,50)","COMUNA 3",1,1,0,0,0,0,"-34.611.339","-58.366.940"
